prac_entity_split_id,kickoff_mtg_dtd,clinicname,clinicname_preferred,fastwave,intervention_arm,fast_start_dtd,prctagrmnt_dtd,practicesurvey_dtd,pause,dropout_dtd,prac_dropout,status
2429,7/6/2020,Trey Medical Enterprises,"Trey Medical Enterprises, Inc",1,0,6/1/2020,6/1/2020,6/1/2020,,,,4
2569,4/29/2021,Akron Clinic,Akron Clinic,10,0,3/1/2021,,9/27/2022,,,,4
2576,8/25/2021,Castillo Primary Care,Castillo Primary Care,14,1,7/1/2021,7/7/2021,7/6/2021,,,,4
2580,8/18/2021,Center Pointe Family Medicine,Center Pointe Family Medicine - South,13,1,6/1/2021,,,,10/7/2021,2,5
2586,7/17/2020,Dakota Ridge Family Medicine,Dakota Ridge Family Medicine,2,1,7/1/2020,8/4/2020,6/24/2020,,,,4
2588,6/16/2020,Dr. Lu Family Medicine,"Dr. Lu Family Medicine, PLLC",1,1,6/1/2020,5/29/2020,5/26/2020,,,,4
2590,9/23/2020,"Family Care Specialists, PC","Family Care Specialists - Pueblo, CO",4,0,9/1/2020,9/2/2020,9/2/2020,,,,4
2595,7/22/2020,Frontier Internal Medicine,Frontier Internal Medicine,2,1,7/1/2020,8/4/2020,10/21/2020,,,,4
2599,7/23/2020,Internal Medicine Associates Buffalo Ridge,Internal Medicine Associates Buffalo Ridge,2,0,7/1/2020,8/4/2020,10/21/2020,,,,4
2600,7/23/2020,Internal Medicine Associates Boulder,Internal Medicine Associates Boulder,2,0,7/1/2020,8/4/2020,10/21/2020,,,,4
2601,8/27/2020,Internal Medicine Associates Lafayette,Internal Medicine Associates Lafayette,2,1,7/1/2020,8/4/2020,7/9/2020,,,,4
2638,6/22/2020,Southern Colorado Medicine,Southern Colorado Medicine,1,1,6/1/2020,5/28/2020,5/27/2020,,,,4
2640,6/9/2020,St. Luke's Medical Clinic,St. Luke's Medical Clinic,1,0,6/1/2020,9/11/2020,9/3/2020,,,,5
3106,6/11/2020,Aspen Internal Medicine Consultants,Aspen Leaf Internal Medicine,1,1,6/1/2020,6/5/2020,6/4/2020,,,,4
3247,3/11/2021,Northwest Colorado Visiting Nurse Association,Northwest Colorado Health - Steamboat,10,1,3/1/2021,3/9/2021,3/16/2021,,,,4
3255,3/29/2021,Valley Medical Clinic,Sedgwick County Health Center,9,1,2/1/2021,2/1/2021,,,,,4
3256,8/26/2020,Walsh Medical Clinic,Walsh Medical Clinic,3,1,8/1/2020,8/24/2020,9/25/2020,,,,4
3310,8/18/2021,Center Pointe Family Medical Group,Center Pointe Family Medicine Group,13,1,6/1/2021,,,,10/7/2021,2,5
3319,8/18/2021,Center Pointe Family Medicine,Center Pointe Family Medicine - North,13,1,6/1/2021,,,,9/3/2021,3,1
3321,8/28/2020,Rocky Mountain Medical & Healthcare,Rocky Mountain Medical & Healthcare,3,0,8/1/2020,12/2/2020,9/8/2020,,,,4
3349,9/25/2020,Rocky Vista Health Center,Rocky Vista Health Center,5,1,10/1/2020,9/24/2020,10/28/2020,,,,5
3355,6/16/2020,Visiting Medical Clinic,Visiting Medical Clinic,1,1,6/1/2020,6/16/2020,6/16/2020,,,,4
3377,7/23/2020,Erie Family Medicine,Erie Family Medicine,2,0,7/1/2020,8/4/2020,10/21/2020,,,,4
3397,2/16/2021,Adult Medicine Specialists,Adult Medicine Specialists,9,0,2/1/2021,7/15/2021,2/12/2021,,,,4
3430,3/26/2021,Colorado Adult primary care,Colorado Adult primary care,10,1,3/1/2021,6/4/2021,6/4/2021,,,,4
3487,12/7/2021,South Suburban Internal Medicine,South Suburban Internal Medicine,18,1,11/1/2021,10/22/2021,1/31/2022,,,,4
3488,12/1/2021,Highlands Ranch Medical Associates,Highlands Ranch Medical Associates,18,0,11/1/2021,10/22/2021,2/2/2022,,,,4
3490,1/18/2022,MedNOW Clinics-Aurora,,19,0,12/1/2021,12/28/2021,3/9/2022,,,,4
3492,1/18/2022,MedNOW Clinics-Englewood,,19,0,12/1/2021,12/28/2021,3/9/2022,,,,4
3493,1/18/2022,MedNOW Clinics- Lakewood,,19,1,12/1/2021,12/28/2021,3/9/2022,,,,4
